Year,Movie Title,Actors,Gender,Race
2011,Harry Potter and the Deathly Hallows: Part 2,Emma Watson,Female,White
2011,Harry Potter and the Deathly Hallows: Part 2,Ralph Fiennes,Male,White
2012,The Avengers,Robert Downey Jr.,Male,White
2012,The Avengers, Chris Evans,Male,White
2012,The Avengers, Mark Ruffalo,Male,White
2012,The Avengers, Chris Hemsworth,Male,White
2013,Frozen,Kristen Bell,Female,White
2013,Frozen, Idina Menzel,Female,White
2013,Frozen, Jonathan Groff,Male,White
2013,Frozen, Josh Gad,Male,White
2014,Transformers: Age of Extinction,Mark Wahlberg,Male,White
2014,Transformers: Age of Extinction, Stanley Tucci,Male,White
2014,Transformers: Age of Extinction, Kelsey Grammer,Male,White
2014,Transformers: Age of Extinction, Nicola Peltz,Female,White
2015,Star Wars: The Force Awakens,Harrison Ford,Male,White
2015,Star Wars: The Force Awakens,Mark Hamill,Male,White
2015,Star Wars: The Force Awakens,Carrie Fisher,Female,White
2015,Star Wars: The Force Awakens,Adam Driver,Male,White
2016,Captain America: Civil War,Chris Evans,Male,White
2016,Captain America: Civil War, Robert Downey Jr.,Male,White
2016,Captain America: Civil War, Scarlett Johansson,Female,White
2016,Captain America: Civil War, Sebastian Stan,Male,White
2017,Star Wars: The Last Jedi,Mark Hamill,Male,White
2017,Star Wars: The Last Jedi,Carrie Fisher,Female,White
2017,Star Wars: The Last Jedi,Adam Driver,Male,White
2017,Star Wars: The Last Jedi,Daisy Ridley,Female,White
2018,Avengers: Infinity War,Robert Downey Jr.,Male,White
2018,Avengers: Infinity War, Chris Hemsworth,Male,White
2018,Avengers: Infinity War, Mark Ruffalo,Male,White
2018,Avengers: Infinity War, Chris Evans,Male,White
2019,Avengers: Endgame,Robert Downey Jr.,Male,White
2019,Avengers: Endgame, Chris Evans,Male,White
2019,Avengers: Endgame, Mark Ruffalo,Male,White
2019,Avengers: Endgame, Chris Hemsworth,Male,White
