year,category,winner,entity
1936,ACTRESS IN A SUPPORTING ROLE,No,Maria Ouspenskaya
1936,ACTRESS IN A SUPPORTING ROLE,Yes,Gale Sondergaard
1936,ART DIRECTION,No,Anthony Adverse
1936,ART DIRECTION,Yes,Dodsworth
1936,ART DIRECTION,No,The Great Ziegfeld
1936,ART DIRECTION,No,Lloyds of London
1936,ART DIRECTION,No,The Magnificent Brute
1936,ART DIRECTION,No,Romeo and Juliet
1936,ART DIRECTION,No,Winterset
1936,ASSISTANT DIRECTOR,No,Anthony Adverse
1936,ASSISTANT DIRECTOR,Yes,The Charge of the Light Brigade
1936,ASSISTANT DIRECTOR,No,The Garden of Allah
1936,ASSISTANT DIRECTOR,No,The Last of the Mohicans
1936,ASSISTANT DIRECTOR,No,San Francisco
1936,CINEMATOGRAPHY,Yes,Anthony Adverse
1936,CINEMATOGRAPHY,No,The General Died at Dawn
1936,CINEMATOGRAPHY,No,The Gorgeous Hussy
1936,DANCE DIRECTION,No,Busby Berkeley
1936,DANCE DIRECTION,No,Bobby Connolly
1936,DANCE DIRECTION,Yes,Seymour Felix
1936,DANCE DIRECTION,No,Dave Gould
1936,DANCE DIRECTION,No,Jack Haskell
1936,DANCE DIRECTION,No,Russell Lewis
